duration,first_blood_time,dire_kills,radiant_kills,radiant_win
1759,87,19.0,43.0,True
1890,0,23.0,42.0,True
1819,2,36.0,17.0,False
2694,52,30.0,58.0,True
2367,165,35.0,41.0,True
1787,4,22.0,43.0,True
2240,80,37.0,35.0,False
1648,61,43.0,26.0,False
2437,0,39.0,25.0,False
2539,0,38.0,42.0,True
2236,0,35.0,52.0,True
2179,258,42.0,34.0,False
1766,202,22.0,11.0,False
1678,146,21.0,37.0,True
1767,17,18.0,41.0,True
3181,88,56.0,38.0,True
1913,100,37.0,26.0,False
2037,0,43.0,15.0,False
2221,113,33.0,47.0,True
2866,15,36.0,54.0,True
1732,9,36.0,8.0,False
2124,239,37.0,24.0,False
1637,195,33.0,11.0,False
2076,107,39.0,25.0,False
2404,130,26.0,48.0,True
2329,8,28.0,33.0,True
2022,20,38.0,26.0,False
2532,190,43.0,47.0,True
1817,50,39.0,14.0,False
2533,3,21.0,55.0,True
2038,95,53.0,26.0,False
2145,148,28.0,42.0,True
2402,119,37.0,43.0,True
1977,157,41.0,19.0,False
2205,12,24.0,46.0,True
1980,112,22.0,32.0,True
2555,41,51.0,41.0,False
2490,18,25.0,35.0,True
2489,259,40.0,46.0,True
2108,0,24.0,32.0,True
2665,140,34.0,53.0,True
2835,124,45.0,36.0,False
2291,81,30.0,26.0,False
2233,0,28.0,51.0,True
2345,18,39.0,43.0,True
2760,69,51.0,39.0,False
1980,27,17.0,41.0,True
2722,0,51.0,44.0,False
2309,186,39.0,46.0,True
2733,10,37.0,61.0,True
1313,273,13.0,34.0,True
2376,49,25.0,40.0,True
2014,96,29.0,49.0,True
3108,87,56.0,59.0,True
2777,4,50.0,46.0,False
1576,3,27.0,13.0,False
2383,11,31.0,50.0,True
2471,54,55.0,28.0,False
2088,45,37.0,34.0,False
1978,145,51.0,23.0,False
1853,86,9.0,47.0,True
3403,55,52.0,49.0,False
2382,40,46.0,47.0,True
1863,108,20.0,46.0,True
2299,118,48.0,37.0,False
1949,99,20.0,38.0,True
2446,35,46.0,47.0,True
2430,141,52.0,37.0,False
2530,123,38.0,35.0,True
1448,0,23.0,30.0,True
1706,40,24.0,41.0,True
2785,166,38.0,28.0,False
